group,sentence,explanation,example
人物类,王婆卖瓜——自卖自夸,比喻自己夸耀自己的东西或成绩。,他总说自己的画最好看，真是王婆卖瓜自卖自夸。
人物类,武松打虎——艺高人胆大,比喻本领高强的人胆子也大。,他在台上表演杂技，真是武松打虎艺高人胆大。
人物类,三个臭皮匠——顶个诸葛亮,比喻人多智慧多，大家一起商量就会有办法。,大家一起来想办法，三个臭皮匠顶个诸葛亮。
人物类,徐庶进曹营——一言不发,比喻一句话也不说，保持沉默。,他今天心情不好，从进来到现在徐庶进曹营一言不发。
人物类,刘姥姥进大观园——眼花缭乱,比喻没见过世面的人看到繁华景象感到新奇又迷乱。,第一次去科技馆，我就像刘姥姥进大观园眼花缭乱。
物品类,竹篮打水——一场空,比喻白费力气，最终什么也没得到。,他不努力学习，梦想只能是竹篮打水一场空。
物品类,擀面杖吹火——一窍不通,比喻对某件事完全不懂，一点也不明白。,我对数学擀面杖吹火一窍不通。
物品类,泥菩萨过江——自身难保,比喻自身都难保，更顾不上帮助别人了。,他自己都泥菩萨过江自身难保，哪有时间帮你。
物品类,芝麻开花——节节高,比喻生活或成绩越来越好，步步上升。,他的学习成绩芝麻开花节节高。
物品类,针尖对麦芒——针锋相对,比喻双方互不相让，彼此都很强硬。,他们两个在辩论赛上针尖对麦芒针锋相对。
物品类,肉包子打狗——有去无回,比喻东西送出去了就再也拿不回来了。,借给他的钱都是肉包子打狗有去无回。
物品类,铁公鸡——一毛不拔,比喻非常吝啬，像铁做的公鸡一根毛也不拔。,他真是个铁公鸡一毛不拔，从不肯借东西给别人。
物品类,纸老虎——一戳就破,比喻外表看起来厉害，实际上一碰就垮。,他看起来凶巴巴的，其实是纸老虎一戳就破。
物品类,绣花枕头——一肚子草,比喻外表好看，但肚子里没什么真本事。,他打扮得很帅，但学习很差，真是绣花枕头一肚子草。
物品类,热锅上的蚂蚁——团团转,比喻非常着急，急得来回走动。,考试快开始了，他还没找到笔，急得像热锅上的蚂蚁团团转。
物品类,小葱拌豆腐——一清二白,比喻事情清清楚楚，没有半点含糊。,这件事我已经说明白了，小葱拌豆腐一清二白。
物品类,茶壶煮饺子——有口倒不出,比喻心里有话但表达不出来。,他心里有很多想法，但茶壶煮饺子有口倒不出。
物品类,打破砂锅——问到底,比喻追问到底，一定要弄清楚。,他遇到不懂的就打破砂锅问到底，所以学得很好。
物品类,十五个吊桶打水——七上八下,比喻心里非常不安，七上八下的。,等成绩的时候，我心里像十五个吊桶打水七上八下的。
物品类,大海捞针——没处寻,比喻东西非常难找，几乎找不到。,在这么大的城市里找一个人，简直是大海捞针没处寻。
物品类,哑巴吃黄连——有苦说不出,比喻受了委屈或吃了亏，但说不出来。,他被误会了却不能解释，真是哑巴吃黄连有苦说不出。
物品类,哑巴吃饺子——心里有数,比喻嘴上不说，但心里很明白。,他虽然没说话，但是哑巴吃饺子心里有数。
物品类,瞎子点灯——白费蜡,比喻做事徒劳无功，白白浪费力气。,你劝他也是瞎子点灯白费蜡，他根本不会听。
物品类,聋子的耳朵——摆设,比喻某种东西有名无实，起不到实际作用。,这个花瓶放在这里纯粹是聋子的耳朵摆设。
场景类,船到桥头——自然直,比喻困难到最后总会想办法解决，不用过于担心。,别着急，船到桥头自然直，总会有办法的。
场景类,车到山前——必有路,比喻遇到困难时总会有解决的办法。,别怕困难，车到山前必有路。
场景类,箭在弦上——不得不发,比喻事情已经到了非做不可的时候，没有退路了。,既然答应了，就是箭在弦上不得不发。
场景类,逆水行舟——不进则退,比喻学习或做事业就像逆水行船，不前进就会后退。,学习如逆水行舟不进则退。
场景类,顺水推舟——不费力,比喻顺着趋势做事，不用费太大劲。,大家都同意这个方案，我们顺水推舟不费力就通过了。
场景类,水中捞月——一场空,比喻追求不切实际的东西，最后白忙一场。,他想不学习就考高分，那是水中捞月一场空。
场景类,火上浇油——越烧越旺,比喻在别人生气时，说刺激的话让事情更严重。,他已经很生气了，你再说他简直是火上浇油越烧越旺。
场景类,雪中送炭——及时,比喻在别人急需的时候给予帮助，非常及时。,我正缺钱买书，他就借给我了，真是雪中送炭很及时。
场景类,锦上添花——好上加好,比喻在好的基础上再添好事，让好的更好。,他考了第一名，又获了奖，真是锦上添花好上加好。
场景类,画蛇添足——多此一举,比喻做了多余的事情，反而弄巧成拙。,文章已经写完了，再加一句就是画蛇添足多此一举。
场景类,画饼充饥——自欺欺人,比喻用空想来安慰自己，欺骗自己。,光想不做是画饼充饥自欺欺人。
场景类,拔苗助长——急于求成,比喻违反规律，急于求成，反而把事情搞坏。,学习不能拔苗助长急于求成，要一步一步来。
场景类,守株待兔——白费力气,比喻不劳而获，死守经验不知变通。,他天天等着好运从天而降，那是守株待兔白费力气。
场景类,掩耳盗铃——自欺欺人,比喻自己骗自己，明明骗不了别人还要骗自己。,他抄作业还说靠自己做的，真是掩耳盗铃自欺欺人。
场景类,此地无银三百两——自欺欺人,比喻本想隐瞒真相，结果反而暴露了。,他越解释越乱，真是此地无银三百两自欺欺人。
场景类,偷鸡不成——蚀把米,比喻想占便宜反而吃了亏。,他想骗别人，结果偷鸡不成蚀把米，自己反倒赔了钱。
场景类,赔了夫人又折兵——双重损失,比喻想占便宜却吃了大亏，损失惨重。,他这次投资失败，真是赔了夫人又折兵双重损失。
场景类,搬起石头砸自己的脚——自作自受,比喻做坏事最终害了自己，自己承担后果。,他想陷害别人，结果搬起石头砸自己的脚自作自受。
场景类,骑虎难下——进退两难,比喻事情做到一半，进也不行退也不行，很为难。,他答应参加比赛后才发现太难了，真是骑虎难下进退两难。
场景类,骑驴看唱本——走着瞧,比喻事情还没到最后，等着看结果吧。,你别得意，咱们骑驴看唱本走着瞧。
场景类,临阵磨枪——不快也光,比喻平时不准备，临时突击一下，多少有点用。,明天考试了，今天晚上临阵磨枪不快也光。
场景类,临时抱佛脚——来不及,比喻平时不准备，到关键时才着急，已经晚了。,平时不复习，考试前才临时抱佛脚来不及了。
场景类,城门失火——殃及池鱼,比喻无辜的人受到牵连而遭殃。,他们两个吵架，结果把我也卷进去了，真是城门失火殃及池鱼。
场景类,上梁不正下梁歪——源头不好,比喻上面的人或长辈做不好，下面的人就会跟着学坏。,家长整天玩手机，孩子也学样，真是上梁不正下梁歪源头不好。
场景类,过街老鼠——人人喊打,比喻做了坏事的人大家都很痛恨。,那个骗子现在成了过街老鼠人人喊打。
场景类,过河拆桥——忘恩负义,比喻利用完别人后就把人甩掉，忘恩负义。,他得到帮助后就不理别人了，真是过河拆桥忘恩负义。
场景类,落井下石——乘人之危,比喻在别人落难时还要害他。,别人有困难时不但不帮，还落井下石乘人之危，真是太坏了。
场景类,枪打出头鸟——先遭殃,比喻出头的人或突出的人容易先受到打击。,他还是低调一点好，枪打出头鸟先遭殃。
场景类,眉毛胡子一把抓——主次不分,比喻做事不分主次，什么都混在一起做。,做事情要有条理，不能眉毛胡子一把抓主次不分。
场景类,丢了西瓜拣芝麻——因小失大,比喻不该放弃大的好的，却去追求小的没价值的。,为了省几块钱买不好的东西，结果坏了，真是丢了西瓜拣芝麻因小失大。
场景类,杀鸡取卵——只顾眼前,比喻只贪图眼前的利益，不考虑长远的后果。,他为了赚钱把树全砍了，那是杀鸡取卵只顾眼前。
场景类,明知山有虎——偏向虎山行,比喻明知有危险，却仍然勇敢地去做。,他明知这道题很难，仍然明知山有虎偏向虎山行。
场景类,纸上谈兵——空谈误事,比喻只谈理论不实践，空谈会耽误事情。,计划写得再好不行动也是纸上谈兵空谈误事。
场景类,坐井观天——见识小,比喻见识狭窄，眼界小。,我们要多出去走走，不要坐井观天见识小。
场景类,秋后的蚂蚱——蹦跶不了几天,比喻坏人或坏事快要完蛋了，没多少日子了。,他的谎言被揭穿了，已经是秋后的蚂蚱蹦跶不了几天了。
数字寓意类,一加一等于二——没错儿,比喻事情很清楚，没有错。,这道题一加一等于二没错儿，你算对了。
数字寓意类,一是一二是二——清清楚楚,比喻事情很清楚，明明白白。,账目要记清楚，一是一二是二清清楚楚。
数字寓意类,一粒老鼠屎——坏了一锅汤,比喻一个坏人坏了一群好人，一件坏事坏了整件事。,一个同学在吵，全班都被批评，真是一粒老鼠屎坏了一锅汤。
数字寓意类,一盘散沙——聚不起来,比喻大家不团结，人心涣散。,他们班同学不团结，像一盘散沙聚不起来。
数字寓意类,二一添作五——一人一半,比喻平分，各得一半。,这次奖金咱们二一添作五一人一半。
数字寓意类,三下五除二——干脆利落,比喻做事干脆利索，不拖泥带水。,他三下五除二干脆利落地把房间收拾好了。
数字寓意类,四面楚歌——走投无路,比喻四面受敌，孤立无援，无路可走。,他现在是四面楚歌走投无路了。
数字寓意类,四两拨千斤——以巧取胜,比喻用巧劲战胜强大的对手，不硬拼。,他身材小却赢了比赛，靠的是四两拨千斤以巧取胜。
数字寓意类,五谷丰登——好年景,比喻粮食丰收，年成很好。,今年风调雨顺，五谷丰登好年景。
数字寓意类,五光十色——丰富多彩,形容色彩鲜艳，花样繁多。,商场里的商品五光十色丰富多彩。
数字寓意类,六神无主——慌了神,形容惊慌失措，不知道该怎么办。,听到这个消息，他六神无主慌了神。
数字寓意类,七上八下——心神不安,形容心里慌乱，不安定。,考试前他七上八下心神不安。
数字寓意类,七嘴八舌——议论纷纷,形容人多嘴杂，大家都在发表意见。,关于春游去哪，大家七嘴八舌议论纷纷。
数字寓意类,八仙过海——各显神通,比喻各人有各人的本领和办法。,组员们八仙过海各显神通，很快就完成了任务。
数字寓意类,八九不离十——差不多,比喻非常接近实际情况，差不了多少。,我猜的答案八九不离十差不多了。
数字寓意类,九牛二虎——力气大,比喻花了很大的力气。,他费了九牛二虎力气才搬动了这块石头。
数字寓意类,九牛一毛——微不足道,比喻非常微小，不值一提。,这点钱对他来说九牛一毛微不足道。
数字寓意类,十拿九稳——有把握,比喻非常有把握，几乎不会出错。,这次考试他复习得很充分，十拿九稳有把握。
数字寓意类,十万八千里——差得远,比喻差距非常大，远远不够。,我的成绩和第一名比，还有十万八千里差得远。
数字寓意类,百步穿杨——百发百中,形容射箭或投篮非常准，每发必中。,他投篮百步穿杨百发百中。
数字寓意类,千里送鹅毛——礼轻情意重,比喻礼物虽轻但情意深厚。,他送我的虽然是一张手工贺卡，但千里送鹅毛礼轻情意重。
数字寓意类,万事俱备——只欠东风,比喻一切都准备好了，只差最后一个关键条件。,我们什么都准备好了，万事俱备只欠东风，就等老师同意了。
谐音类,外甥打灯笼——照旧,"""照旧""谐音""照舅""，比喻和原来一样，没有变化。",他还是老样子，外甥打灯笼照旧。
谐音类,孔夫子搬家——尽是输,"""输""谐音""书""，比喻全是失败。",他打游戏总是孔夫子搬家尽是输。
谐音类,和尚打伞——无法无天,"""法""谐音""发""，比喻不受约束，任意妄为。",他在学校里欺负同学，简直是和尚打伞无法无天。
谐音类,小葱拌豆腐——一清二白,"""清""谐音""青""，比喻清清楚楚，明明白白。",这笔账小葱拌豆腐一清二白。
谐音类,电线杆上插鸡毛——好大的胆子,"""掸子""谐音""胆子""，比喻胆子真大。",他居然敢跟校长顶嘴，真是电线杆上插鸡毛好大的胆子。
谐音类,梁山上的军师——无用,"""吴用""谐音""无用""，比喻没有用处。",他学了这么久还没学会，真是梁山上的军师无用。
谐音类,空棺材出殡——目中无人,"""木""谐音""目""，比喻骄傲自大，看不起别人。",他得了第一名就空棺材出殡目中无人了。
谐音类,冻豆腐——难办,"""拌""谐音""办""，比喻事情不好处理。",这件事真是冻豆腐难办啊。
谐音类,膝盖上钉掌——离了题,"""蹄""谐音""题""，比喻说话偏离了主题。",他越说越远，完全膝盖上钉掌离了题。
谐音类,大暑天吃冰棒——良心,"""凉""谐音""良""，比喻心里感到凉快或指心地善良。",他这么热心帮忙，真是大暑天吃冰棒良心好。
谐音类,炒咸菜不放盐——有言在先,"""盐""谐音""言""，比喻事先已经说过或约定好了。",出发前我们炒咸菜不放盐有言在先，不能迟到。
谐音类,腊月里的萝卜——动了心,"""冻""谐音""动""，比喻对某事产生了兴趣或好感。",看到那本书的介绍，他就腊月里的萝卜动了心。
谐音类,窗户边吹喇叭——名声在外,"""鸣声""谐音""名声""，比喻名气很大，外面的人都知道。",这位老师窗户边吹喇叭名声在外。
自然气象类,六月天——说变就变,比喻天气或人的情绪变化很快。,他的脾气像六月天说变就变。
自然气象类,雷声大雨点小——只说不做,比喻说的好听，但实际行动很少。,他总是雷声大雨点小只说不做。
自然气象类,春雨贵如油——难得,比喻春雨非常珍贵难得。,这场雨来得正好，真是春雨贵如油难得。
自然气象类,霜打的茄子——蔫了,比喻精神不振，无精打采的样子。,听到比赛输了，他像霜打的茄子蔫了。
自然气象类,秋后的蚂蚱——蹦不了几天,比喻快要完蛋了，没多少日子了。,他的好日子秋后的蚂蚱蹦不了几天了。
饮食类,生米煮成熟饭——改不了,比喻事情已成定局，无法改变了。,合同都签了，生米煮成熟饭改不了了。
饮食类,吃着碗里看着锅里——贪心不足,比喻贪得无厌，有了还想要更多。,他已经有很多玩具了，还想要，真是吃着碗里看着锅里贪心不足。
饮食类,油锅里撒盐——炸开了锅,比喻场面一下子变得非常热闹或混乱。,老师宣布明天去春游，教室里像油锅里撒盐炸开了锅。
饮食类,白糖拌蜂蜜——甜透了,比喻非常甜蜜，甜到了极点。,收到生日礼物，她心里白糖拌蜂蜜甜透了。
饮食类,黄连树下弹琴——苦中作乐,比喻在痛苦中寻找快乐。,虽然生活很艰难，但他总是黄连树下弹琴苦中作乐。
饮食类,鸡蛋里挑骨头——故意找茬,比喻故意挑剔，找毛病。,他对我的作业鸡蛋里挑骨头故意找茬。
态度行为类,半斤八两——彼此彼此,比喻水平相当，不分上下。,他们两个的成绩半斤八两彼此彼此。
态度行为类,刀子嘴豆腐心——嘴硬心软,形容人说话刻薄但心地善良。,妈妈总骂我，但她是刀子嘴豆腐心嘴硬心软。
态度行为类,坐山观虎斗——坐收渔利,比喻在旁边看别人争斗，自己从中获利。,他们两个吵起来，他坐山观虎斗坐收渔利。
态度行为类,好心当成驴肝肺——不识好歹,比喻把别人的好心当成了恶意，不领情。,我帮他，他还骂我，真是好心当成驴肝肺不识好歹。
态度行为类,站着说话不腰疼——风凉话,比喻说讽刺或不负责任的话，站着说话不嫌腰疼。,你说得轻松，你来做做看？真是站着说话不腰疼风凉话。
态度行为类,只见树木不见森林——目光短浅,比喻只看到局部看不到整体，眼光短浅。,你不能只见树木不见森林目光短浅，要看到全局。
态度行为类,打肿脸充胖子——死要面子活受罪,比喻为了面子假装有钱或有本事，让自己受罪。,他明明没钱还要请客，真是打肿脸充胖子死要面子活受罪。
态度行为类,井水不犯河水——各不相干,比喻互不干涉，各做各的。,我们从今以后井水不犯河水各不相干。
态度行为类,不到黄河心不死——顽固,比喻不到最后不死心，形容固执。,他不到黄河心不死顽固得很，不撞南墙不回头。
态度行为类,挂羊头卖狗肉——名不副实,比喻用好的名义做幌子，实际上做的是坏事。,这家店挂羊头卖狗肉名不副实，东西很差。
态度行为类,当面一套背后一套——两面三刀,形容人表里不一，当面说好话背后使坏。,他当面一套背后一套两面三刀，不可信任。
态度行为类,这山望着那山高——见异思迁,比喻不满足当前，总想着别的更好的。,他做事这山望着那山高见异思迁，什么都做不长。
态度行为类,三天打鱼两天晒网——没有恒心,比喻做事断断续续，不能坚持。,他学英语三天打鱼两天晒网没有恒心，所以进步很慢。
态度行为类,捡了芝麻丢了西瓜——因小失大,比喻为了小利益放弃了大的利益。,为了打游戏不写作业，那是捡了芝麻丢了西瓜因小失大。
态度行为类,杀鸡用牛刀——小题大做,比喻把小事情当成大事情来处理，过分夸张。,为了这么点小事就惊动家长，真是杀鸡用牛刀小题大做。
