group,sentence,source
亲情综合,爸爸妈妈，谢谢你们！是你们给了我生命，给了我健全的四肢与器官；是你们让我明白了爱，明白了感恩。,
亲情综合,"爸爸妈妈，我想每天都和你们在一起，我渴望你们温暖的怀抱，我想大声地对你们说：""我爱你们！""",
亲情综合,有人说，世界上最爱我的人，一个是父亲，一个是母亲。他们或许不善于表达，但他们用行动证明了一切。,
亲情综合,奶奶的手像树皮一样粗糙，但被她牵着的时候，我觉得我是这个世界上最幸福的人。,
亲情综合,"弟弟是个小淘气，每次我写作业的时候，他总爱悄悄溜到我身后，突然大喊一声""姐姐""。我虽然假装生气，但心里却甜甜的。",
亲情综合,每逢过年，我们全家人围坐在一起，爷爷奶奶讲着过去的故事，爸爸妈妈聊着工作上的趣事，我和弟弟争着说学校里的笑话。这样的时光，真好。,
亲情综合,在这个充满爱的家庭中，尽管他们或严厉、或慈祥，或喜欢热闹、或喜欢清静，但是，我却是那么爱他们。,
亲情综合,姥姥的手像枯老的树皮，一道道裂纹是岁月风霜留下的痕迹。可就是这双手，为我编织了最温暖的童年。,
亲情综合,爷爷喜欢在大树下喝茶，一杯清茶，一张藤椅，一坐就是一个下午。偶尔他会把我叫到跟前，给我讲他年轻时候的故事。,
亲情综合,"妈妈是""母老虎""，爸爸是""大懒猪""，我是""小猴子""——我们家就是一个小小的""动物园""。在这个动物园里，每天都上演着有趣的故事。",
亲情综合,爸爸妈妈，你们的点点滴滴都真真切切地感动着我，像春雨点点落在地上，滋润了我的心田。你们的爱让我的生活更美好。,
亲情综合,当岁月染白了父母的头发，当生活的重担压弯了他们的脊背，我才发现——他们老了，而我长大了。,
亲情综合,爸爸、妈妈、奶奶是一棵树，那我就是小树苗，在大树的呵护下，渐渐长高、长壮。三棵树连成一排，能抵挡暴风雨的袭击。,
亲情综合,离家的那天，我坐在车上，看着窗外渐渐远去的父母的身影，眼泪悄悄滑落。我暗暗告诉自己：一定要努力，成为他们的骄傲。,
亲情综合,我的妈妈很温柔，爸爸很严厉。可我知道，那份严厉里藏着比温柔更深沉的爱。,
亲情综合,感谢你的陪伴，你是我成长路上的阳光，无论生活多么平淡，因为有你，一切都变得温暖而闪亮。,
